news_headline,news_article,news_category,full_text,clean_text
OnePlus 5 & 5T start getting Android Pie update in open beta,"OnePlus 5, OnePlus 5T have got the  Android Pie update in open beta which means users will be able to experience the almost final version of the OxygenOS based Android 9.0 Pie update. Users will now be able to experience new features such as an all-new Android Pie UI, Android P gesture navigation, expanded accent colour customizations and more.",technology,"OnePlus 5 & 5T start getting Android Pie update in open beta. OnePlus 5, OnePlus 5T have got the  Android Pie update in open beta which means users will be able to experience the almost final version of the OxygenOS based Android 9.0 Pie update. Users will now be able to experience new features such as an all-new Android Pie UI, Android P gesture navigation, expanded accent colour customizations and more.",oneplus start get android pie update open beta oneplus oneplus get android pie update open beta mean user able experience almost final version oxygeno base android pie update user able experience new feature new android pie ui android p gesture navigation expand accent colour customization
OnePlus 6T named 'Smartphone of the year' by tech YouTuber MKBHD,"OnePlus 6T has been named as the 'Smartphone of the year 2018' by Marques Brownlee in his famous annual 'Smartphone Awards'. OnePlus 6T provides both flagship performance as well as flagship design in a fairly reasonable and affordable price, says Marques, a technology-focused YouTuber, also known as MKBHD having a subscriber base of 7.5 million.",technology,"OnePlus 6T named 'Smartphone of the year' by tech YouTuber MKBHD. OnePlus 6T has been named as the 'Smartphone of the year 2018' by Marques Brownlee in his famous annual 'Smartphone Awards'. OnePlus 6T provides both flagship performance as well as flagship design in a fairly reasonable and affordable price, says Marques, a technology-focused YouTuber, also known as MKBHD having a subscriber base of 7.5 million.",oneplus name smartphone year tech youtuber mkbhd oneplus name smartphone year marque brownlee famous annual smartphone award oneplus provide flagship performance well flagship design fairly reasonable affordable price say marque technology focus youtuber also know mkbhd subscriber base million
OnePlus 6T comes with integrated Google Lens,"OnePlus 6T supports the Google Lens functionality natively in its camera app, a feature usually available only in phones that run stock Android. Google Lens is a visual search tool that turns the phone's camera into a smart virtual eye. With it, you can find products online, see similar styles, identify popular plants and animals, learn about landmarks, and more.",technology,"OnePlus 6T comes with integrated Google Lens. OnePlus 6T supports the Google Lens functionality natively in its camera app, a feature usually available only in phones that run stock Android. Google Lens is a visual search tool that turns the phone's camera into a smart virtual eye. With it, you can find products online, see similar styles, identify popular plants and animals, learn about landmarks, and more.",oneplus come integrated google lens oneplus support google lens functionality natively camera app feature usually available phone run stock android google lens visual search tool turn phone camera smart virtual eye find product online see similar style identify popular plant animal learn landmark
Ex-NASA engineer makes smelly glitter bomb trap for parcel thieves,"A former NASA engineer has made a 'glitter bomb trap' to trick thieves after some parcels were stolen from his doorstep. The device, hidden in an Apple Homepod box, used four smartphones, a circuit board, glitter and a fart spray. YouTuber Mark Rober's video has garnered over 35 million views since it was shared on December 17. ",technology,"Ex-NASA engineer makes smelly glitter bomb trap for parcel thieves. A former NASA engineer has made a 'glitter bomb trap' to trick thieves after some parcels were stolen from his doorstep. The device, hidden in an Apple Homepod box, used four smartphones, a circuit board, glitter and a fart spray. YouTuber Mark Rober's video has garnered over 35 million views since it was shared on December 17. ",ex nasa engineer make smelly glitter bomb trap parcel thief former nasa engineer make glitter bomb trap trick thief parcel steal doorstep device hide apple homepod box use four smartphone circuit board glitter fart spray youtuber mark rober video garner million view since share december
Google Search for 'cerebrum' shoots up after Taapsee's response,"Google Search for the word 'cerebrum' shot up in India from Monday after actress Taapsee Pannu responded ""Wow! I like them too. BTW which is your favourite? Mine is the cerebrum"" to a person who wrote, ""Taapsee I love your body parts"" on Twitter. When another user pointed out the surge to Taapsee, she responded with crying with laughter emojis.",technology,"Google Search for 'cerebrum' shoots up after Taapsee's response. Google Search for the word 'cerebrum' shot up in India from Monday after actress Taapsee Pannu responded ""Wow! I like them too. BTW which is your favourite? Mine is the cerebrum"" to a person who wrote, ""Taapsee I love your body parts"" on Twitter. When another user pointed out the surge to Taapsee, she responded with crying with laughter emojis.",google search cerebrum shoot taapsee response google search word cerebrum shoot india monday actress taapsee pannu respond wow like btw favourite mine cerebrum person write taapsee love body part twitter another user point surge taapsee respond cry laughter emojis
IIIT Hyderabad graduate Karandeep Anand to head Facebook Workplace,"Karandeep Anand, an Indian-origin senior Facebook executive, has been named the Head of Workplace, the social media giant's communications tool for businesses. Anand is a BTech (Computer Science) graduate from IIIT Hyderabad and also studied at the Kellogg School of Management, US. He worked at Microsoft for 15 years before joining Facebook nearly four years ago.",technology,"IIIT Hyderabad graduate Karandeep Anand to head Facebook Workplace. Karandeep Anand, an Indian-origin senior Facebook executive, has been named the Head of Workplace, the social media giant's communications tool for businesses. Anand is a BTech (Computer Science) graduate from IIIT Hyderabad and also studied at the Kellogg School of Management, US. He worked at Microsoft for 15 years before joining Facebook nearly four years ago.",iiit hyderabad graduate karandeep anand head facebook workplace karandeep anand indian origin senior facebook executive name head workplace social medium giant communication tool business anand btech computer science graduate iiit hyderabad also study kellogg school management us work microsoft year join facebook nearly four year ago
'Human error' gives Alexa user access to stranger's recordings,"A user of Amazon's Alexa in Germany got access to 1,700 audio files from another user due to a ""human error"". The customer asked for recordings of his activities but was also able to access recordings from a stranger when Amazon sent him a link. On the recordings, a man and a female companion could be overheard in their home.",technology,"'Human error' gives Alexa user access to stranger's recordings. A user of Amazon's Alexa in Germany got access to 1,700 audio files from another user due to a ""human error"". The customer asked for recordings of his activities but was also able to access recordings from a stranger when Amazon sent him a link. On the recordings, a man and a female companion could be overheard in their home.",human error give alexa user access stranger recording user amazon alexa germany get access audio file another user due human error customer ask recording activity also able access recording stranger amazon send link recording man female companion could overhear home
Apple Music uses Android phone for promotion on Twitter,"Technology reviewer Marques Brownlee on Tuesday pointed out that Apple Music used an Android device to promote a music album by American singer Ariana Grande. Responding to it, a user tweeted, ""Marques you just got someone fired"", while another tweet read ""Apple Music is also on Android"". The YouTuber had earlier highlighted Anushka Sharma promoting Google Pixel's camera via iPhone.",technology,"Apple Music uses Android phone for promotion on Twitter. Technology reviewer Marques Brownlee on Tuesday pointed out that Apple Music used an Android device to promote a music album by American singer Ariana Grande. Responding to it, a user tweeted, ""Marques you just got someone fired"", while another tweet read ""Apple Music is also on Android"". The YouTuber had earlier highlighted Anushka Sharma promoting Google Pixel's camera via iPhone.",apple music use android phone promotion twitter technology reviewer marque brownlee tuesday point apple music use android device promote music album american singer ariana grande respond user tweet marque get someone fire another tweet read apple music also android youtuber earlier highlight anushka sharma promote google pixel camera via iphone
US supermarket chain uses self-driving vehicles for delivery,US-based supermarket chain Kroger has started using unmanned vehicles in Arizona for delivery in partnership with autonomous vehicle startup Nuro. The delivery service is using Nuro’s R1 custom autonomous pods on public roads with no driver. The service would be available for $5.95 for same-day or next-day deliveries.,technology,US supermarket chain uses self-driving vehicles for delivery. US-based supermarket chain Kroger has started using unmanned vehicles in Arizona for delivery in partnership with autonomous vehicle startup Nuro. The delivery service is using Nuro’s R1 custom autonomous pods on public roads with no driver. The service would be available for $5.95 for same-day or next-day deliveries.,us supermarket chain use self drive vehicle delivery us base supermarket chain kroger start use unmanned vehicle arizona delivery partnership autonomous vehicle startup nuro delivery service use nuros r custom autonomous pod public road no driver service would available day next day delivery
Hackers use Twitter memes to trick users with malware,"Hackers used memes posted on Twitter to deliver hidden malware commands to retrieve user data from infected computers, according to Japanese cybersecurity firm Trend Micro. The hidden commands instruct the malware to perform various operations on the infected machine, such as capturing screenshots and collecting system information. The malware then sends the data to a command and control server. ",technology,"Hackers use Twitter memes to trick users with malware. Hackers used memes posted on Twitter to deliver hidden malware commands to retrieve user data from infected computers, according to Japanese cybersecurity firm Trend Micro. The hidden commands instruct the malware to perform various operations on the infected machine, such as capturing screenshots and collecting system information. The malware then sends the data to a command and control server. ",hacker use twitter meme trick user malware hacker use meme post twitter deliver hide malware command retrieve user datum infected computer accord japanese cybersecurity firm trend micro hide command instruct malware perform various operation infected machine capture screenshot collect system information malware send datum command control server
